epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,232.63,0.70732,1.46537,0.69837,0.47264,0.36853,0.31245,0.20284,nan,nan,nan,0.0006618,0.0006618,0.0006618
2,455.303,0.74109,0.65178,0.72978,0.19012,0.13479,0.03581,0.01785,nan,nan,nan,0.00131532,0.00131532,0.00131532
3,675.109,0.74356,0.76936,0.70654,0.30773,0.16202,0.10601,0.06223,nan,nan,nan,0.00195563,0.00195563,0.00195563
4,894.4,0.7041,0.75437,0.64752,0.37657,0.39346,0.24468,0.15049,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,1113.94,0.71941,0.7393,0.66116,0.38538,0.20186,0.1447,0.08047,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,1354.85,0.70306,0.72414,0.64491,0.49125,0.36587,0.26394,0.16359,0.96582,0.71131,1.14499,0.001901,0.001901,0.001901
7,1577.21,0.67156,0.73529,0.62239,0.43577,0.4077,0.29191,0.19439,nan,nan,nan,0.0018812,0.0018812,0.0018812
8,1799.33,0.67773,0.71171,0.61235,0.47278,0.42364,0.30781,0.19314,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,2022.45,0.65385,0.71957,0.60896,0.45336,0.44887,0.29257,0.19156,0.95399,0.6378,1.11262,0.0018416,0.0018416,0.0018416
10,2243.76,0.65582,0.70207,0.59693,0.52769,0.46663,0.34757,0.22709,nan,nan,nan,0.0018218,0.0018218,0.0018218
11,2463.49,0.6587,0.68807,0.58789,0.45347,0.47211,0.30385,0.20405,nan,nan,nan,0.001802,0.001802,0.001802
12,2683.52,0.66574,0.67468,0.58908,0.54603,0.42762,0.35264,0.23788,0.88984,0.70554,1.02427,0.0017822,0.0017822,0.0017822
13,2910.16,0.64377,0.7164,0.58324,0.43754,0.08831,0.08586,0.04966,nan,nan,nan,0.0017624,0.0017624,0.0017624
14,3146.57,0.66038,0.69218,0.59207,0.47098,0.41794,0.32778,0.22241,nan,nan,nan,0.0017426,0.0017426,0.0017426
15,3371.97,0.65338,0.73191,0.57945,0.39233,0.3838,0.26461,0.16381,nan,nan,nan,0.0017228,0.0017228,0.0017228
16,3602.84,0.68408,0.71998,0.62675,0.45405,0.33599,0.25385,0.1745,nan,nan,nan,0.001703,0.001703,0.001703
17,3825.45,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0016832,0.0016832,0.0016832
18,4049.77,0.66572,0.76136,0.59052,0,0,0,0,nan,nan,nan,0.0016634,0.0016634,0.0016634
19,4272.11,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0016436,0.0016436,0.0016436
20,4494.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0016238,0.0016238,0.0016238
21,4716.16,nan,nan,nan,0,0,0,0,nan,nan,nan,0.001604,0.001604,0.001604
22,4933.82,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0015842,0.0015842,0.0015842
